"Abbreviation"	"Reaction"	"Description"
"R05172m"	"C06383[m] + C00001[m] <=> C06384[m] + C00014[m]"	"N-(aminomethyl)urea aminohydrolase"
"R11685m"	"C21584[m] + C00019[m] <=> C09390[m] + C00021[m]"	"S-adenosyl-L-methionine:7'-O-demethylcephaeline 7'-O-methyltransferase"
"R03782m"	"C02289[m] <=> C01951[m]"	"isopiperitenone delta8-delta4-isomerase"
"R07311m"	"C06742[m] + C00001[m] <=> C02499[m] + C00094[m]"	"2'-hydroxybiphenyl-2-sulfinate sulfohydrolase"
"R04398m"	"C00019[m] + C04109[m] <=> C00021[m] + C04527[m]"	"S-adenosyl-L-methionine:3,3',4',5,7,8-hexahydroxyflavone 8-O-methyltransferase"
"R09922m"	"C11389[m] + C03024[m] + C00007[m] <=> C04433[m] + C03161[m] + C00001[m]"	"(+)-linalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)"
"R03646m"	"C00002[m] + C00062[m] + C01636[m] <=> C00020[m] + C00013[m] + C02163[m]"	"L-arginine:tRNA(Arg) ligase (AMP-forming)"
"R00443m"	"C00075[m] + C00046[m] <=> C00013[m] + C00046[m]"	"UTP:RNA uridylyltransferase"
"R02477m"	"C00523[m] + C00006[m] <=> C00674[m] + C00005[m] + C00080[m]"	"androsterone:NADP+ oxidoreductase"
"R02178m"	"C00400[m] + C00007[m] + C00005[m] + C00080[m] <=> C02904[m] + C00006[m] + C00001[m]"	"(-)-menthol,NADPH:oxygen oxidoreductase (8-hydroxylating)"
"R06358m"	"C11886[m] <=> C11888[m]"	"X"
"R06232m"	"G10616[m] + G00089[m] <=> G10621[m] + G00091[m]"	"X"
"R11524m"	"C21437[m] + C00001[m] <=> C00097[m] + C15810[m]"	"[CysO sulfur-carrier protein]-L-cysteine carboxypeptidase"
"R06391m"	"C11403[m] + C00001[m] <=> C11406[m]"	"isopropenylmethyloxepan-2-one lactonohydrolase"
"R11053m"	"C00105[m] + C00026[m] + C00007[m] <=> C21079[m] + C00042[m] + C00011[m] + C00009[m]"	"UMP,2-oxoglutarate:oxygen oxidoreductase"
"R03121m"	"C01021[m] + C00048[m] <=> C00972[m] + C00037[m]"	"aromatic-amino-acid:glyoxylate aminotransferase"
"R06818m"	"C08604[m] + C02199[m] <=> C08620[m] + C00015[m]"	"X"
"R02816m"	"C00715[m] + C00007[m] <=> C03975[m]"	"2-amino-4-hydroxypteridine:oxygen oxidoreductase (7-hydroxylating)"
"R06476m"	"C11971[m] + C00019[m] <=> C11972[m] + C00021[m]"	"X"
"R06494m"	"C11956[m] + C11921[m] <=> C11958[m] + C00363[m]"	"X"
"R09991m"	"C20265[m] + C06246[m] + C00001[m] <=> C05819[m] + C06247[m] + C00011[m] + C00007[m]"	"peptidyl-glutamate 4-carboxylase (menaquinone-epoxidizing)"
"R08160m"	"C00078[m] + 2 C03024[m] + 2 C00007[m] <=> C02937[m] + 2 C03161[m] + C00011[m] + 3 C00001[m]"	"L-tryptophan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)"
"R05408m"	"C07097[m] + C00007[m] + C00001[m] <=> C06329[m] + C01327[m]"	"X"
"R09531m"	"C01137[m] + C00315[m] <=> C00170[m] + C19669[m] + C00080[m]"	"S-adenosylmethioninamine:spermidine 3-aminopropyltransferase (thermospermine synthesizing)"
"R12745m"	"G10614[m] + G13156[m] <=> G10620[m] + G13162[m]"	"GDP-alpha-D-mannose:alpha-L-rhamnopyranosyl-(1->3)-alpha-D-galactopyranosyl-diphospho-ditrans,octacis-undecaprenol 4II-beta-mannosyltransferase (configuration inverting)"
"R05166m"	"C06371[m] + C00001[m] <=> C06372[m] + C00243[m]"	"lacto-N-tetraose lacto-N-biosylhydrolase"
"R11511m"	"C21427[m] + C00001[m] <=> C21432[m]"	"X"
"R06513m"	"C00842[m] <=> C11907[m] + C00001[m]"	"dTDPglucose 4,6-hydro-lyase"
"R03031m"	"C02331[m] <=> C00877[m]"	"vinylacetyl-CoA Delta3-Delta2-isomerase"
"R11101m"	"C17234[m] <=> C20905[m]"	"X"
"R08607m"	"C02937[m] + C00005[m] + C00007[m] + C00080[m] <=> C17204[m] + C00006[m] + C00001[m]"	"indole-3-acetaldehyde-oxime,NADPH:oxidoreductase"
"R03458m"	"C04454[m] + C00006[m] <=> C01268[m] + C00005[m] + C00080[m]"	"5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase"
"R06412m"	"C11945[m] + C00001[m] <=> C11947[m]"	"trans-2-methyl-5-isopropylhexa-2,5-dienoyl-CoA hydro-lyase"
"R07192m"	"C06479[m] + C00005[m] + C00080[m] + C00007[m] <=> C15506[m] + C00006[m] + C00001[m]"	"ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating,ester-producing)"
"R02082m"	"C00418[m] + C00010[m] + 2 C00006[m] <=> C00356[m] + 2 C00005[m] + 2 C00080[m]"	"(R)-mevalonate:NADP+ oxidoreductase (CoA acylating)"
"R01737m"	"C00002[m] + C00257[m] <=> C00008[m] + C00345[m]"	"ATP:D-gluconate 6-phosphotransferase"
"R00945m"	"C00143[m] + C00037[m] + C00001[m] <=> C00101[m] + C00065[m]"	"5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase"
"R00685m"	"C00078[m] <=> C00398[m] + C00011[m]"	"L-tryptophan decarboxy-lyase"
"R07169m"	"C11818[m] + 2 C00006[m] <=> C00757[m] + 2 C00005[m] + 2 C00080[m]"	"(R)-tetrahydroberberine:NADP+ oxidoreductase"
"R10689m"	"C18028[m] + C00001[m] <=> C01720[m]"	"L-fucono-1,5-lactone lactonohydrolase"
"R08503m"	"C16737[m] <=> C06892[m]"	"5-deoxy-D-glucuronate aldose-ketose-isomerase"
"R01016m"	"C00111[m] <=> C00546[m] + C00009[m]"	"glycerone-phosphate phosphate-lyase (methylglyoxal-forming)"
"R09366m"	"C05689[m] + C00001[m] <=> C00022[m] + C00014[m] + C05703[m]"	"Se-methyl-L-selenocysteine methaneselenol-lyase (deaminating; pyruvate-forming)"
"R12344m"	"C00002[m] + C00065[m] <=> C00008[m] + C01005[m]"	"ATP:L-serine 3-phosphotransferase"
"R11980m"	"C18225[m] + C03024[m] + C00007[m] <=> C21825[m] + C03161[m] + C00001[m]"	"9beta-pimara7,15-diene,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (9beta-pimara-7,15-diene-3beta-ol forming)"
"R11229m"	"C00044[m] + C01918[m] <=> C00035[m] + C21240[m]"	"GTP:gentamicin-C 2''-O-phosphotransferase"
"R12800m"	"C22405[m] <=> C22406[m] + C00798[m]"	"X"
"R09453m"	"C19418[m] + C00005[m] + C00007[m] + C00080[m] <=> C19620[m] + C00006[m] + C00001[m]"	"cis-9,10-epoxystearate,NADPH:oxygen oxidoreductase (18-hydroxylating)"
"R12680m"	"C22327[m] + C00028[m] <=> C22326[m] + C00030[m]"	"X"
"R00312m"	"C00032[m] <=> C05783[m]"	"X"
"R09951m"	"C19891[m] + C00003[m] <=> C20251[m] + C00004[m] + C00080[m]"	"1D-chiro-inositol:NAD+ oxidoreductase"
"R02099m"	"C00002[m] + C00526[m] <=> C00008[m] + C00365[m]"	"ATP:deoxyuridine 5'-phosphotransferase"
"R04026m"	"C02718[m] <=> C06195[m] + C00001[m]"	"X"
"R10281m"	"C20483[m] <=> C04899[m]"	"(6R)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide-phosphate 6-epimerase"
"R06310m"	"C11899[m] + C00512[m] <=> C11700[m] + C00010[m]"	"benzoyl-CoA:taxan-2alpha-ol O-benzoyltransferase"
"R04902m"	"C05631[m] + C03024[m] + C00007[m] <=> C05911[m] + C03161[m] + C00001[m]"	"eriodictyol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"
"R10533m"	"C00353[m] + C00001[m] <=> C20681[m] + C00013[m]"	"geranylgeranyl-diphosphate diphosphate-lyase [(E,E)-geranyllinalool-forming]"
"R01411m"	"C02376[m] + C00001[m] <=> C00178[m] + C00014[m]"	"5-methylcytosine aminohydrolase"
"R01652m"	"C00233[m] + C00011[m] <=> C04236[m]"	"X"
"R08751m"	"C17436[m] + C00129[m] <=> C17437[m] + C00013[m]"	"ditrans,tetracis-heptaprenyl-diphosphate:isopentenyl-diphosphate heptaprenylcistransferase"
"R01277m"	"C00517[m] + C00010[m] + C00003[m] <=> C00154[m] + C00004[m] + C00080[m]"	"hexadecanal:NAD+ oxidoreductase (CoA-acylating)"
"R10676m"	"C20768[m] <=> C20774[m]"	"UDP-2-acetamido-2,6-dideoxy-beta-L-talose 2-epimerase"
"R00660m"	"C00074[m] + C00043[m] <=> C04631[m] + C00009[m]"	"phosphoenolpyruvate:UDP-N-acetyl-D-glucosamine 1-carboxyvinyl-transferase"
"R06835m"	"C12834[m] + C00001[m] <=> C12835[m]"	"4-carboxymethylenebut-2-en-4-olide lactonohydrolase"
"R10468m"	"C00032[m] + 5 C00030[m] + 4 C00007[m] <=> C20666[m] + C14818[m] + C00067[m] + 5 C00028[m] + 4 C00001[m]"	"protoheme,hydrogen-donor:oxygen oxidoreductase (delta-methene-oxidizing, hydroxylating)"
"R09884m"	"C00280[m] + C00028[m] <=> C20144[m] + C00030[m]"	"androstenedione:acceptor Delta1-oxidoreductase"
"R08609m"	"C00463[m] <=> C00954[m]"	"X"
"R06243m"	"G10495[m] <=> G10589[m]"	"X"
"R02972m"	"C04079[m] <=> C00831[m] + C00011[m]"	"N-((R)-pantothenoyl)-L-cysteine carboxy-lyase"
"R01082m"	"C00149[m] <=> C00122[m] + C00001[m]"	"(S)-malate hydro-lyase (fumarate-forming)"
"R09167m"	"C14335[m] + C00007[m] <=> C18254[m] + C00001[m]"	"X"
"R05402m"	"C03434[m] + 2 C00051[m] <=> C07099[m] + C00127[m] + C01327[m]"	"glutathione disulfide:2,6-dichlorohydroquinone (chlorinating)"
"R04132m"	"C03063[m] + C00001[m] <=> C06201[m]"	"X"
"R10596m"	"C00043[m] + C20722[m] <=> C00015[m] + C20723[m]"	"UDP-N-acetyl-alpha-D-glucosamine:alpha-D-mannosyl-threonyl-[protein] 4-beta-N-acetyl-D-glucosaminyltransferase"
"R09761m"	"C15794[m] <=> C19873[m]"	"X"
"R10031m"	"C00183[m] + C00007[m] + C03024[m] <=> C20313[m] + C03161[m] + C00001[m]"	"L-valine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)"
"R04943m"	"2 C05698[m] <=> C05707[m]"	"X"
"R01516m"	"C01159[m] + C00615[m] <=> C00197[m] + C04262[m]"	"2,3-bisphospho-D-glycerate 2-phosphohydrolase"
"R13359m"	"C02636[m] + C00024[m] <=> C00164[m] + C22906[m]"	"3-dehydrocarnitine:acetyl-CoA trimethylamine transferase"
"R05862m"	"C00213[m] + C00001[m] + C00007[m] <=> C00048[m] + C00218[m] + C00027[m]"	"sarcosine:oxygen oxidoreductase (deaminating)"
"R13029m"	"C00213[m] + 2 C00139[m] + C00001[m] <=> C00037[m] + C00067[m] + 2 C00138[m] + 2 C00080[m]"	"sarcosine:ferredoxin oxidoreductase (demethylating)"
"R06544m"	"C08604[m] + C00223[m] <=> C12095[m] + C00010[m]"	"4-hydroxycinnamoyl-CoA:cyanidin-3-O-glucoside 6''-O-acyltransferase"
"R11037m"	"C04874[m] + C00007[m] <=> C21065[m] + C00058[m] + C00266[m]"	"7,8-dihydroneopterin:oxygen oxidoreductase"
"R09049m"	"C18158[m] <=> C10772[m]"	"X"
"R11041m"	"C00019[m] + C11927[m] <=> C00021[m] + C21071[m]"	"S-adenosyl-L-methionine:dTDP-4-oxo-2,6-dideoxy-L-mannose 3-O-methyltransferase"
"R00364m"	"C00037[m] + C00001[m] + 2 C00125[m] <=> C00048[m] + C00014[m] + 2 C00126[m] + 2 C00080[m]"	"glycine:ferricytochrome-c oxidoreductase (deaminating)"
"R05577m"	"C01638[m] + C00049[m] + C00002[m] <=> C02984[m] + C00013[m] + C00020[m]"	"L-aspartate:tRNA(Asp) ligase (AMP-forming)"
"R06865m"	"C13425[m] + C00007[m] <=> C05200[m] + C00001[m]"	"X"
"R09859m"	"C00599[m] + 2 C00138[m] + 2 C00080[m] + C00007[m] <=> C20143[m] + 2 C00139[m] + C00001[m]"	"cholest-4-en-3-one,NADH:oxygen oxidoreductase (26-hydroxylating)"
"R06757m"	"C01179[m] + C00235[m] <=> C12456[m] + C00013[m]"	"dimethylallyl diphosphate:4-hydroxyphenylpyruvate 3-dimethylallyltransferase"
"R10541m"	"C00169[m] + C00002[m] + C00001[m] <=> C00013[m] + C20684[m] + C00009[m]"	"X"
"R00203m"	"C00546[m] + C00003[m] + C00001[m] <=> C00022[m] + C00004[m] + C00080[m]"	"pyruvaldehyde:NAD+ oxidoreductase;"
"R07736m"	"C16188[m] <=> C16189[m]"	"X"
"R09133m"	"C18238[m] + C00006[m] <=> C18240[m] + C00005[m] + C00080[m]"	"X"
"R08690m"	"C00079[m] <=> C17235[m]"	"side chain-elongation"
"R07418m"	"C15700[m] + C00006[m] + C00001[m] <=> C15767[m] + C00005[m] + C00080[m]"	"4-(gamma-L-glutamylamino)butanal:NADP+ oxidoreductase"
"R09923m"	"C11388[m] + C03024[m] + C00007[m] <=> C04433[m] + C03161[m] + C00001[m]"	"(-)-linalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)"
"R07698m"	"C16201[m] + C00007[m] <=> C03012[m] + C00094[m]"	"naphthalene disulfonate 1,2-dioxygenase"
"R12726m"	"C22363[m] + C21097[m] <=> C00020[m] + C22364[m]"	"X"
"R11254m"	"C17695[m] <=> C21247[m]"	"X"
"R09179m"	"C18262[m] <=> C18261[m]"	"X"
"R07998m"	"C16415[m] + C00006[m] <=> C09751[m] + C00005[m] + C00080[m]"	"5-deoxyleucopelargonidin:NADP+ 4-oxidoreductase"
"R09795m"	"C05942[m] + C00001[m] <=> C19907[m] + C00288[m]"	"pyrrole-2-carboxylate carboxy-lyase"
"R03407m"	"C04295[m] + C00006[m] <=> C01227[m] + C00005[m] + C00080[m]"	"androst-5-ene-3beta,17beta-diol:NADP+ oxidoreductase"
"R10367m"	"C20532[m] + 3 C00007[m] + 3 C00005[m] + 3 C00080[m] <=> C20548[m] + 3 C00006[m] + 4 C00001[m]"	"X"
"R00459m"	"C00047[m] <=> C00408[m]"	"X"
"R03155m"	"C01012[m] + C00006[m] <=> C01125[m] + C00005[m] + C00080[m]"	"(R)-pantolactone:NADP+ oxidoreductase"
"R05113m"	"C00128[m] + C06138[m] <=> C00055[m] + C06139[m]"	"X"
"R03785m"	"C00002[m] + C01959[m] <=> C00008[m] + C03149[m]"	"ATP:taurocyamine N-phosphotransferase"
"R11807m"	"C21696[m] + 2 C03024[m] + 2 C00007[m] <=> C21697[m] + 2 C03161[m] + 3 C00001[m]"	"12-hydroxyjasmonoyl-L-amino acid,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12-hydroxylating)"
"R07842m"	"C16282[m] <=> C16284[m]"	"X"
"R04401m"	"C00002[m] + C04125[m] <=> C00008[m] + C04564[m]"	"ATP:[isocitrate dehydrogenase (NADP+)] phosphotransferase"
"R07925m"	"C16314[m] <=> C08641[m]"	"X"
"R04135m"	"C03066[m] <=> C03678[m] + C00011[m]"	"3-hydroxy-L-glutamate 1-carboxy-lyase"
"R11484m"	"C00019[m] + C18161[m] + C00001[m] <=> C21407[m] + C05198[m] + C00073[m]"	"bacteriochlorophyllide-c:S-adenosyl-L-methionine oxidoreductase (C-7(1)-hydroxylating)"
"R01291m"	"C03539[m] <=> C11838[m] + C00155[m]"	"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]"
"R03439m"	"C01717[m] + C00007[m] + C00004[m] + C00080[m] <=> C01249[m] + C00003[m]"	"kynurenate:oxygen oxidoreductase (hydroxylating)"
"R11378m"	"G10611[m] + G00050[m] <=> G10619[m] + G00889[m]"	"X"
"R04804m"	"C05437[m] <=> C05439[m]"	"delta8,24-cholestadien-3beta-ol delta7-delta8-isomerase"
"R00844m"	"C00093[m] + C00006[m] <=> C00111[m] + C00005[m] + C00080[m]"	"sn-glycerol-3-phosphate:NADP+ 2-oxidoreductase"
"R10262m"	"C00029[m] + C15539[m] <=> C00015[m] + C06361[m]"	"UDP-alpha-D-glucose:anthocyanidin-3-O-beta-D-glucoside 5-O-glucosyltransferase"
"R00250m"	"C00025[m] + C00007[m] + C00001[m] <=> C00026[m] + C00014[m] + C00027[m]"	"L-glutamate:oxygen oxidoreductase (deaminating)"
"R10199m"	"2 C00019[m] + C20432[m] <=> 2 C00021[m] + C20435[m]"	"S-adenosyl-L-methionine:botryococcene C-methyltransferase"
"R01456m"	"C00187[m] + C00006[m] <=> C01164[m] + C00005[m] + C00080[m]"	"cholesterol:NADP+ delta7-oxidoreductase"
"R02471m"	"C00522[m] + C00003[m] <=> C01053[m] + C00004[m] + C00080[m]"	"X"
"R12155m"	"C21955[m] + C00001[m] <=> C15930[m]"	"L-galactono-1,5-lactone lactonohydrolase"
"R08298m"	"C16561[m] <=> C16572[m]"	"X"
"R08785m"	"C01500[m] + C03024[m] + C00007[m] <=> C17621[m] + C03161[m] + C00001[m]"	"geraniol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)"
"R11339m"	"C03979[m] + C00003[m] <=> C20781[m] + C00004[m] + C00080[m]"	"2-dehydro-3-deoxy-L-rhamnonate:NAD+ 4-oxidoreductase"
"R02936m"	"C00603[m] + C00006[m] <=> C00802[m] + C00005[m] + C00080[m]"	"(S)-ureidoglycolate:NADP+ oxidoreductase"
"R08094m"	"C16469[m] + C00003[m] <=> C16471[m] + C00004[m] + C00080[m]"	"3-hydroxy-5-methylhex-4-enoyl-CoA:NAD+ oxidoreductase"
"R07128m"	"C15037[m] + C00007[m] <=> C15038[m] + C00205[m] + C00011[m]"	"oplophorus-luciferin:oxygen 2-oxidoreductase (decarboxylating)"
"R05959m"	"G10616[m] + G00125[m] <=> G10621[m] + G00127[m]"	"X"
"R10505m"	"C20657[m] + C00003[m] <=> C00810[m] + C00004[m] + C00080[m]"	"meso-2,3-butanediol:NAD+ oxidoreductase [(R)-acetoin forming]"
"R12311m"	"C00002[m] + C22073[m] + C03401[m] <=> C00020[m] + C00013[m] + C22074[m]"	"2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxybutanedioate:L-2,3-diaminopropanoate ligase {2-[(L-alanin-3-ylcarbamoyl)methyl]-3-(2-aminoethylcarbamoyl)-2-hydroxypropanoate-forming}"
"R02606m"	"C01273[m] + C00001[m] <=> C00180[m] + C00596[m]"	"2,6-dioxo-6-phenylhexa-3-enoate benzoylhydrolase"
"R11221m"	"C00019[m] + C00613[m] <=> C00021[m] + C21190[m]"	"S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N5-methyl-L-arginine-forming)"
"R02953m"	"C02749[m] + C00001[m] <=> C00812[m] + C00014[m] + C00022[m]"	"S-alkyl-L-cysteine alkylthiol-lyase (deaminating)"
"R09261m"	"C12355[m] <=> C18333[m]"	"X"
"R09519m"	"C00014[m] + C00030[m] + C00007[m] <=> C00192[m] + C00028[m] + C00001[m]"	"ammonia monooxygenase"
"R12836m"	"C22437[m] <=> C08800[m]"	"X"
"R01481m"	"C00800[m] + C00006[m] <=> C00191[m] + C00005[m] + C00080[m]"	"L-gulonate:NADP+ 6-oxidoreductase"
"R05748m"	"C07294[m] + 2 C00051[m] <=> C07295[m] + C00127[m] + C00001[m]"	"gluthathione:methylarsonate oxidoreductase"
"R09224m"	"C18306[m] + C00004[m] + C00080[m] <=> C18307[m] + C00003[m]"	"maleylacetate reductase"
"R02646m"	"C05513[m] + C00009[m] <=> C00366[m] + C00620[m]"	"urate-3-ribonucleoside:phosphate D-ribosyltransferase"
"R12047m"	"C16911[m] + C00029[m] <=> C21854[m] + C00015[m]"	"UDP-glucose:afzelin 7-O-glucosyltransferase"
"R01262m"	"C00051[m] + C00151[m] <=> C01419[m] + C03740[m]"	"glutathione:L-amino-acid 5-glutamyltransferase"
"R08483m"	"C00398[m] <=> C09089[m]"	"X"
"R00914m"	"C00099[m] <=> C02335[m]"	"beta-alanine CoA-transferase"
"R06831m"	"C06594[m] + C00004[m] + C00080[m] + C00007[m] <=> C12832[m] + C00003[m]"	"1,2,4-trichlorobenzene,NADH:oxygen oxidoreductase (1,2-hydroxylating)"
"R00208m"	"C00074[m] + C00001[m] <=> C00022[m] + C00009[m]"	"phosphoenolpyruvate phosphohydrolase"
"R07059m"	"C01222[m] <=> C14830[m]"	"X"
"R10343m"	"C00091[m] + C00033[m] <=> C00024[m] + C00042[m]"	"succinyl-CoA:acetate CoA-transferase"
"R06349m"	"C11863[m] <=> C11866[m]"	"X"
"R12786m"	"C00002[m] + C00362[m] + C00049[m] <=> C00008[m] + C00009[m] + C22395[m]"	"dGMP:L-aspartate ligase (ADP-forming)"
"R03948m"	"C00019[m] + C02463[m] <=> C00021[m] + C05772[m] + C00080[m]"	"S-adenosyl-L-methionine:precorrin-4 C20-methyltransferase"
"R03662m"	"C00002[m] + C00065[m] + C01650[m] <=> C00020[m] + C00013[m] + C02553[m]"	"L-serine:tRNA(Ser) ligase (AMP-forming)"
"R03348m"	"C01185[m] + C00013[m] + C00011[m] <=> C03722[m] + C00119[m]"	"nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)"
"R03621m"	"C00024[m] + C01589[m] <=> C00010[m] + C02560[m]"	"acetyl-CoA:imidazole N-acetyltransferase"
"R10632m"	"C20742[m] + C00253[m] + C00080[m] <=> C13051[m]"	"NAADP nicotinate-lyase (2'-phospho-cyclic-ADP-ribose-forming)"
"R00327m"	"C02655[m] + C00001[m] <=> C00031[m] + C00033[m]"	"6-acetyl-D-glucose acetylhydrolase"
"R06004m"	"G00109[m] + C00001[m] <=> G00108[m] + C01132[m]"	"X"
"R11733m"	"C16074[m] + C03024[m] + C00007[m] <=> C00561[m] + C03161[m] + C00001[m]"	"phenylacetonitrile,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase [(R)-mandelonitrile-forming]"
"R06389m"	"C11415[m] + C00005[m] + C00007[m] + C00080[m] <=> C11418[m] + C00006[m] + C00001[m]"	"NADPH:oxygen oxidoreductase"
"R10991m"	"C02356[m] + C00026[m] <=> C00109[m] + C00025[m]"	"2-aminobutanoate:2-oxoglutarate aminotransferase"
"R11070m"	"C00423[m] <=> C07083[m] + C00011[m]"	"trans-cinnamate carboxy-lyase"
"R04533m"	"C04618[m] + C00006[m] <=> C05744[m] + C00005[m] + C00080[m]"	"(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase"
"R03425m"	"C00037[m] + C02051[m] <=> C01242[m] + C00011[m]"	"glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating)"
"R12845m"	"C22435[m] + C00024[m] <=> C08795[m] + C00010[m]"	"X"
"R11930m"	"C21775[m] + C00001[m] <=> C21776[m]"	"X"
"R06265m"	"C04536[m] + C00005[m] + C00080[m] + C00007[m] <=> C11829[m] + C00006[m] + C00001[m]"	"magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH:oxygen oxidoreductase (hydroxylating)"
"R09893m"	"C00448[m] <=> C20174[m] + C00013[m]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, delta-guaiene-forming)"
"R00806m"	"C00029[m] + C00095[m] <=> C00015[m] + C00089[m]"	"UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase"
"R07613m"	"C00666[m] + C00026[m] <=> C03972[m] + C00025[m] + C00001[m]"	"LL-2,6-diaminoheptanedioate:2-oxoglutarate aminotransferase"
"R07289m"	"C00053[m] + C05466[m] <=> C00054[m] + C15559[m]"	"3'-phosphoadenylyl-sulfate:glycochenodeoxycholate 7-sulfotransferase"
"R12763m"	"C05123[m] <=> C00084[m] + C00094[m]"	"isethionate sulfite-lyase"
"R09545m"	"C19675[m] + 2 C00003[m] + C00001[m] <=> C11537[m] + 2 C00004[m] + 2 C00080[m]"	"(R)-2,3-dihydroxypropane-1-sulfonate:NAD+ 3-oxidoreductase"
"R01070m"	"C05378[m] <=> C00111[m] + C00118[m]"	"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)"
"R04293m"	"C03722[m] + C00001[m] <=> C04409[m]"	"X"
"R12998m"	"C00075[m] <=> C22509[m] + C00013[m]"	"UTP diphosphate-lyase (cyclizing; 3',5'-cyclic-UMP-forming)"
"R02426m"	"C00501[m] <=> C01219[m] + C00001[m]"	"CDPglucose 4,6-hydro-lyase"
"R06967m"	"C08734[m] + C00001[m] <=> C06554[m] + C00014[m]"	"N-isopropylammelide isopropylaminohydrolase"
"R03362m"	"C00002[m] + C01194[m] <=> C00008[m] + C04549[m]"	"ATP:1-phosphatidyl-1D-myo-inositol 3-phosphotransferase"
"R03212m"	"C03228[m] + C00028[m] <=> C01066[m] + C00030[m]"	"3-hydroxycyclohexanone:acceptor 1-oxidoreductase"
"R08749m"	"C17435[m] + C00129[m] <=> C17434[m] + C00013[m]"	"ditrans,dicis-pentaprenyl-diphosphate:isopentenyl-diphosphate pentaprenylcistransferase"
"R08130m"	"C16492[m] <=> C01460[m]"	"X"
"R11324m"	"C07712[m] + 2 C00662[m] + 2 C00080[m] + C00007[m] <=> C18231[m] + C00667[m] + C00001[m]"	"secalciferol,adrenodoxin:oxygen oxidoreductase (1-hydroxylating)"
"R02558m"	"C00844[m] + C00001[m] <=> C00561[m] + C00031[m]"	"(R)-prunasin beta-D-glucohydrolase"
"R02527m"	"C00937[m] + C00003[m] <=> C00546[m] + C00004[m] + C00080[m]"	"(R)-lactaldehyde:NAD+ oxidoreductase"
"R04043m"	"C03820[m] + C00001[m] <=> C02773[m] + C00033[m]"	"2-acetyl-1-alkyl-sn-glycerol acetylhydrolase"
"R12460m"	"C05546[m] + C00026[m] + C00007[m] <=> C05545[m] + C00042[m] + C00067[m] + C00011[m]"	"protein N6,N6,N6-trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase"
"R13056m"	"C22557[m] + C00005[m] + C00080[m] <=> C22558[m] + C00006[m]"	"X"
"R10325m"	"C20518[m] + 8 C00003[m] <=> C04638[m] + 8 C00004[m] + 8 C00080[m]"	"2,3-bis-(O-phytanyl)-sn-glycerol 1-phosphate:NAD+ oxidoreductase"
"R02345m"	"C00466[m] + C00117[m] <=> C00084[m] + C04359[m]"	"3-hydroxybutan-2-one:D-ribose-5-phosphate aldehydetransferase"
"R06828m"	"C12632[m] + C00167[m] <=> C04900[m] + C00015[m]"	"UDP-glucuronate:luteolin-7-O-beta-D-diglucuronide 4'-O-glucuronosyltransferase"
"R07104m"	"C06899[m] + C00003[m] <=> C11150[m] + C00004[m] + C00080[m]"	"chloral:NAD(P)+ oxidoreductase"
"R07064m"	"C00157[m] + C00001[m] <=> C04230[m] + C01595[m]"	"phosphatidylcholine 2-acylhydrolase"
"R05530m"	"C06635[m] + C11916[m] <=> C06630[m] + C00363[m]"	"dTDP-L-mycarose:erythronolide-B 3-O-alpha-mycarosyltransferase"
"R12267m"	"C22049[m] + C03024[m] + C00007[m] <=> C22050[m] + C03161[m] + C00001[m]"	"8beta-hydroxygermacra-1(10),4,11(13)-trien-12-oate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (6alpha-hydroxylating)"
"R06904m"	"C14115[m] + C00091[m] <=> C14116[m] + C00042[m]"	"X"
"R01956m"	"C00328[m] + C00026[m] <=> C01252[m] + C00025[m]"	"L-kynurenine:2-oxoglutarate aminotransferase"
