"Abbreviation"	"Description"	"Formula"
"C20532[m]"	"20,21-Diprenylterpendole I"	"C37H51NO5"
"C20534[m]"	"12-Demethyl-11,12-dehydropaspaline"	"C27H35NO2"
"C20535[m]"	"beta-PC-M6"	"C27H35NO3"
"C20536[m]"	"Terpendole E"	"C28H39NO3"
"C20542[m]"	"13-Desoxyterpendole I"	"C27H35NO4"
"C20543[m]"	"Terpendole I"	"C27H35NO5"
"C20545[m]"	"Terpendole J"	"C32H43NO5"
"C20546[m]"	"Terpendole C"	"C32H41NO5"
"C20548[m]"	"Lolitriol"	"C37H49NO7"
"C20550[m]"	"Lolitrem E"	"C42H57NO7"
"C20551[m]"	"Lolitrem B"	"C42H55NO7"
"C20552[m]"	"Terpendole K"	"C32H39NO5"
"C20553[m]"	"Paspalicine"	"C27H31NO3"
"C20554[m]"	"Paspalinine"	"C27H31NO4"
"C20555[m]"	"Aflatrem"	"C32H39NO4"
"C20559[m]"	"4-(beta-D-Ribofuranosyl)aniline 5'-phosphate"	"C11H16NO7P"
"C20560[m]"	"N1-(3-Aminopropyl)agmatine"	"C8H21N5"
"C20561[m]"	"21,22-Diprenylpaxilline"	"C37H49NO4"
"C20562[m]"	"N-[(7,8-Dihydropterin-6-yl)methyl]-4-(beta-D-ribofuranosyl)aniline 5'-phosphate"	"C18H23N6O8P"
"C20563[m]"	"Brevianamide F"	"C16H17N3O2"
"C20564[m]"	"Fumitremorgin A"	"C32H41N3O7"
"C20565[m]"	"Cyclic di-3',5'-adenylate"	"C20H24N10O12P2"
"C20566[m]"	"7,8-Dihydroneopterin 2'-phosphate"	"C9H14N5O7P"
"C20567[m]"	"7,8-Dihydroneopterin 2',3'-cyclic phosphate"	"C9H12N5O6P"
"C20568[m]"	"beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranose"	"C10H18O9"
"C20569[m]"	"beta-L-Arabinofuranose"	"C5H10O5"
"C20574[m]"	"(1'S,5'S)-Averufin"	"C20H16O7"
"C20575[m]"	"Versicolorin B"	"C18H12O7"
"C20576[m]"	"Kunzeaol"	"C15H26O"
"C20577[m]"	"6-Tuliposide A"	"C11H18O8"
"C20578[m]"	"Tulipalin A"	"C5H6O2"
"C20579[m]"	"Cyclopeptine"	"C17H16N2O2"
"C20580[m]"	"[tRNA(Ile2)]-2-agmatinylcytidine34"	"C14H26N7O7P(C5H8O6PR)n(C5H8O6PR)n"
"C20581[m]"	"cis-(Homo)2-aconitate"	"C8H10O6"
"C20582[m]"	"cis-(Homo)3-aconitate"	"C9H12O6"
"C20583[m]"	"Versicolorin A"	"C18H10O7"
"C20586[m]"	"Terpendole G"	"C28H37NO4"
"C20587[m]"	"Paspaline B"	"C28H37NO3"
"C20589[m]"	"D-Glucosaminate-6-phosphate"	"C6H14NO9P"
"C20593[m]"	"beta-Paxitriol"	"C27H35NO4"
"C20594[m]"	"20,21-Diprenylterpendole J"	"C42H59NO5"
"C20595[m]"	"20,21-Diprenylterpendole C"	"C42H57NO5"
"C20596[m]"	"Penitrem D"	"C37H45NO4"
"C20601[m]"	"Janthitrem C"	"C37H47NO4"
"C20602[m]"	"L-Enduracididine"	"C6H12N4O2"
"C20603[m]"	"(3S)-3-Hydroxy-L-enduracididine"	"C6H12N4O3"
"C20604[m]"	"Fumitremorgin C"	"C22H25N3O3"
"C20605[m]"	"12alpha,13alpha-Dihydroxyfumitremorgin C"	"C22H25N3O5"
"C20607[m]"	"Tryprostatin A"	"C22H27N3O3"
"C20608[m]"	"(S)-2-Chloropropanoate"	"C3H5ClO2"
"C20609[m]"	"2-Chloroacrylate"	"C3H3ClO2"
"C20612[m]"	"GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose"	"C16H23N5O14P2"
"C20613[m]"	"GDP-beta-L-colitose"	"C16H25N5O14P2"
"C20614[m]"	"Kanamycin X"	"C18H35N3O12"
"C20615[m]"	"(R)-8-Oxocitronellyl enol"	"C10H16O2"
"C20616[m]"	"Aldono-1,5-lactone"	"X"
"C20617[m]"	"beta-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C69H115NO17P2"
"C20618[m]"	"beta-D-Gal-(1->4)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C69H115NO17P2"
"C20619[m]"	"beta-D-Glc-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C69H115NO17P2"
"C20620[m]"	"N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol"	"C63H105NO12P2"
"C20621[m]"	"alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol"	"C71H118N2O17P2"
"C20622[m]"	"beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol"	"C77H128N2O22P2"
"C20623[m]"	"Caldariellaquinol"	"C39H68O2S2"
"C20624[m]"	"Caldariellaquinone"	"C39H66O2S2"
"C20625[m]"	"alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol"	"C83H138N2O26P2"
"C20626[m]"	"alpha-D-Gal-(1->3)-(alpha-L-Fuc-(1->2))-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol"	"C89H148N2O31P2"
"C20627[m]"	"CDP-2,3-bis-(O-phytanyl)-sn-glycerol"	"C52H101N3O13P2"
"C20628[m]"	"2,3-Bis-(O-phytanyl)-sn-glycero-1-phospho-L-serine"	"C46H94NO8P"
"C20629[m]"	"8-Demethylnovobiocic acid"	"C21H19NO6"
"C20630[m]"	"Fumitremorgin B"	"C27H33N3O5"
"C20631[m]"	"(2S,3S)-3-Hydroxyasparagine"	"C4H8N2O4"
"C20632[m]"	"Methyl gibberellin A9"	"C20H26O4"
"C20633[m]"	"Methyl gibberellin A4"	"C20H26O5"
"C20634[m]"	"O-Methyl anthranilate"	"C8H9NO2"
"C20635[m]"	"Methyl (indol-3-yl)acetate"	"C11H11NO2"
"C20636[m]"	"Deoxybrevianamide E"	"C21H25N3O2"
"C20637[m]"	"5-[[(4,7-Dihydroxy-2-oxo-2H-1-benzopyran-3-yl)amino]carbonyl]-4-methyl-1H-pyrrole-3-carboxylate"	"C16H12N2O7"
"C20638[m]"	"GDP-4-amino-4,6-dideoxy-alpha-D-mannose"	"C16H26N6O14P2"
"C20639[m]"	"O-Ureido-L-serine"	"C4H9N3O4"
"C20640[m]"	"Cyclic GMP-AMP"	"C20H24N10O13P2"
"C20641[m]"	"L-Threonylcarbamoyladenylate"	"C15H21N6O11P"
"C20642[m]"	"1-Archaetidyl-1D-myo-inositol 3-phosphate"	"C49H100O14P2"
"C20643[m]"	"2-Heptyl-4(1H)-quinolone"	"C16H21NO"
"C20644[m]"	"2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate"	"C7H14NO9P"
"C20645[m]"	"Methyl benzoate"	"C8H8O2"
"C20646[m]"	"(3S)-2-Oxo-3-phenylbutanoate"	"C10H10O3"
"C20647[m]"	"N1-Methyladenine in rRNA"	"C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C20648[m]"	"Adenine in rRNA"	"C10H14N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C20649[m]"	"7-[(3S)-(3-Amino-3-carboxypropyl)]wyosine in tRNA(Phe)"	"C18H25N6O10P(C5H8O6PR)n(C5H8O6PR)n"
"C20650[m]"	"7-(Dihydroxymethyl)bacteriochlorophyllide c"	"C31H28MgN4O6(R1)(R2)"
"C20651[m]"	"O-Ureido-D-serine"	"C4H9N3O4"
"C20652[m]"	"7-[(3S)-3-Amino-3-carboxypropyl]-4-demethylwyosine in tRNA(Phe)"	"C17H23N6O10P(C5H8O6PR)n(C5H8O6PR)n"
"C20653[m]"	"2-Benzylmalic acid"	"C11H12O5"
"C20654[m]"	"3-Benzylmalic acid"	"C11H12O5"
"C20655[m]"	"Aldopyranose"	"X"
"C20656[m]"	"(L-Prolyl)adenylate"	"C15H21N6O8P"
"C20657[m]"	"meso-2,3-Butanediol"	"C4H10O2"
"C20658[m]"	"O-Acetyl-ADP-ribose"	"C17H25N5O15P2"
"C20659[m]"	"7-[(3S)-3-Amino-3-(methoxycarbonyl)propyl]wyosine in tRNA(Phe)"	"C19H27N6O10P(C5H8O6PR)n(C5H8O6PR)n"
"C20660[m]"	"Wybutosine in tRNA(Phe)"	"C21H29N6O12P(C5H8O6PR)n(C5H8O6PR)n"
"C20661[m]"	"7-(2-Hydroxy-3-amino-3-carboxypropyl)wyosine in tRNA(Phe)"	"C18H25N6O11P(C5H8O6PR)n(C5H8O6PR)n"
"C20663[m]"	"L-Histidine-[translation elongation factor 2]"	"C7H8N4O2R2"
"C20664[m]"	"(-)-Bornyl diphosphate"	"C10H20O7P2"
"C20665[m]"	"Aryl-carrier protein"	"HSR"
"C20666[m]"	"5-Oxo-delta-bilirubin"	"C33H34N4O7"
"C20667[m]"	"15-Oxo-beta-bilirubin"	"C33H34N4O7"
"C20668[m]"	"3-Dehydro-D-glucose 6-phosphate"	"C6H11O9P"
"C20669[m]"	"2-Amino-5-chlorophenol"	"C6H6ClNO"
"C20670[m]"	"2-Amino-5-chloromuconate 6-semialdehyde"	"C6H6ClNO3"
"C20672[m]"	"GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose"	"C18H28N6O15P2"
"C20673[m]"	"N-Isovaleryl-L-homoserine lactone"	"C9H15NO3"
"C20674[m]"	"N7-Methylguanosine"	"C11H16N5O5"
"C20675[m]"	"Short-chain acyl-CoA"	"C24H39N7O17P3SR"
"C20676[m]"	"Short-chain trans-2,3-dehydroacyl-CoA"	"C24H37N7O17P3SR"
"C20677[m]"	"N-(4-Coumaroyl)-L-homoserine lactone"	"C13H13NO4"
"C20678[m]"	"26-Deglucoprotodioscin"	"C45H74O17"
"C20679[m]"	"Tungstate"	"WH2O4"
"C20680[m]"	"2-Dehydro-3-deoxy-L-galactonate"	"C6H10O6"
"C20681[m]"	"(E,E)-Geranyllinalool"	"C20H34O"
"C20682[m]"	"dTDP-alpha-D-fucofuranose"	"C16H26N2O15P2"
"C20683[m]"	"Long-chain acyl-[acyl-carrier protein]"	"C3H4OSR2"
"C20684[m]"	"O-Carbamoyladenylate"	"C11H15N6O8P"
"C20685[m]"	"(R)-(2,4-Dichlorophenoxy)propanoate"	"C9H8Cl2O3"
"C20686[m]"	"(S)-2-(4-Chloro-2-methylphenoxy)propanoate"	"C10H11ClO3"
"C20687[m]"	"(S)-(2,4-Dichlorophenoxy)propanoate"	"C9H8Cl2O3"
"C20688[m]"	"N1-Methylguanine in tRNA(Phe)"	"C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C20689[m]"	"15-Demethylaclacinomycin T"	"C29H33NO10"
"C20690[m]"	"1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate"	"C6H20O30P8"
"C20691[m]"	"4-Demethylwyosine in tRNA(Phe)"	"C13H16N5O8P(C5H8O6PR)n(C5H8O6PR)n"
"C20692[m]"	"9-cis-10'-Apo-beta-carotenal"	"C27H36O"
"C20693[m]"	"Carlactone"	"C19H26O3"
"C20694[m]"	"(2E,4E,6E)-7-Hydroxy-4-methylhepta-2,4,6-trienal"	"C8H10O2"
"C20695[m]"	"all-trans-10'-Apo-beta-carotenal"	"C27H36O"
"C20696[m]"	"13-Apo-beta-carotenone"	"C18H26O"
"C20697[m]"	"(2E,4E,6E)-4-Methylocta-2,4,6-trienedial"	"C9H10O2"
"C20699[m]"	"6''-O-Carbamoylkanamycin A"	"C19H37N5O12"
"C20700[m]"	"(E,E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene"	"C16H26"
"C20701[m]"	"But-3-en-2-one"	"C4H6O"
"C20702[m]"	"(8E,10S)-10-Hydroperoxyoctadeca-8-enoate"	"C18H34O4"
"C20703[m]"	"(8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate"	"C18H32O4"
"C20704[m]"	"(8E,10S,12Z,15Z)-10-Hydroperoxyoctadeca-8,12,15-trienoate"	"C18H30O4"
"C20705[m]"	"4-O-(beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline"	"C20H33NO15"
"C20706[m]"	"4-O-(beta-L-Arabinofuranosyl)-(2S,4S)-4-hydroxyproline"	"C10H17NO7"
"C20707[m]"	"26-Desgluco-avenacoside B"	"C51H82O23"
"C20709[m]"	"Diosgenin 3-O-beta-D-glucopyranoside"	"C33H52O8"
"C20710[m]"	"(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate"	"C7H8O4"
"C20711[m]"	"Miltiradiene"	"C20H32"
"C20712[m]"	"(S)-Laudanine"	"C20H25NO4"
"C20713[m]"	"Ginsenoside Rb1"	"C54H92O23"
"C20714[m]"	"3-Oxodecanoate"	"C10H18O3"
"C20715[m]"	"Protopanaxadiol"	"C30H52O3"
"C20716[m]"	"Protopanaxatriol"	"C30H52O4"
"C20717[m]"	"4-Hydroxy-2,5-dimethylfuran-3(2H)-one"	"C6H8O3"
"C20718[m]"	"4-Hydroxy-5-methyl-2-methylenefuran-3(2H)-one"	"C6H6O3"
"C20719[m]"	"Vancomycin aglycone"	"C53H52Cl2N8O17"
"C20720[m]"	"Desvancosaminyl-vancomycin"	"C59H62Cl2N8O22"
"C20721[m]"	"Chloroorienticin B"	"C66H75Cl2N9O24"
"C20722[m]"	"3-O-(alpha-D-Mannosyl)-L-threonyl-[protein]"	"C11H18N2O8R2"
"C20723[m]"	"3-O-[N-Acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl]-L-threonyl-[protein]"	"C19H31N3O13R2"
"C20724[m]"	"(+)-Thujopsene"	"C15H24"
"C20725[m]"	"Ginsenoside Rd"	"C48H82O18"
"C20726[m]"	"Phenyl 5-phospho-alpha-D-ribofuranoside"	"C11H15O8P"
"C20727[m]"	"Kaempferol 3-O-beta-D-xyloside"	"C20H18O10"
"C20729[m]"	"[Sulfur-carrier protein]-Gly-NH-CH2-C(O)-S-L-cysteine"	"C7H12N3O4SR"
"C20730[m]"	"[Protein]-FMN-L-Threonine"	"C22H27N6O11PR2"
"C20732[m]"	"Mycothiol S-conjugate"	"C17H29N2O12SR"
"C20734[m]"	"3-O-[N-Acetyl-beta-D-galactosaminyl-(1->3)-N-acetyl-beta-D-glucosaminyl-(1->4)-alpha-D-mannosyl]-L-threonyl-[protein]"	"C27H44N4O18R2"
"C20735[m]"	"N-Acyl-aromatic-L-amino acid"	"C4H5NO3R2"
"C20737[m]"	"6-Geranylgeranyl-2-methylbenzene-1,4-diol"	"C27H40O2"
"C20738[m]"	"6-Geranylgeranyl-2,3-dimethylbenzene-1,4-diol"	"C28H42O2"
"C20739[m]"	"Neopikromycin"	"C28H47NO8"
"C20740[m]"	"Novapikromycin"	"C28H47NO9"
"C20741[m]"	"Novamethymycin"	"C25H43NO8"
"C20742[m]"	"2'-Phospho-cyclic ADP-ribose"	"C15H22N5O16P3"
"C20743[m]"	"Protein N6-acetyl-L-lysine"	"C9H15N3O3R2"
"C20744[m]"	"alpha-NADH"	"C21H29N7O14P2"
"C20745[m]"	"alpha-NADPH"	"C21H30N7O17P3"
"C20746[m]"	"(3R)-Citramalyl-CoA"	"C26H42N7O20P3S"
"C20747[m]"	"(R)-Malyl-CoA"	"C25H40N7O20P3S"
"C20748[m]"	"(E)-4-(Trimethylammonio)but-2-enoyl-CoA"	"C28H48N8O17P3S"
"C20749[m]"	"4-Trimethylammoniobutanoyl-CoA"	"C28H50N8O17P3S"
"C20750[m]"	"L-Carnitinyl-CoA"	"C28H50N8O18P3S"
"C20751[m]"	"N6-L-Threonylcarbamoyladenine in tRNA"	"C15H21N6O11P(C5H8O6PR)n(C5H8O6PR)n"
"C20752[m]"	"2-Methylthio-N6-L-threonylcarbamoyladenine in tRNA"	"C16H23N6O11PS(C5H8O6PR)n(C5H8O6PR)n"
"C20753[m]"	"2-Methylthio-N6-dimethylallyladenine in tRNA"	"C16H24N5O7PS(C5H8O6PR)n(C5H8O6PR)n"
"C20754[m]"	"2-Thio-N6-L-threonylcarbamoyladenine in tRNA"	"C15H21N6O11PS(C5H8O6PR)n(C5H8O6PR)n"
"C20755[m]"	"2-Thio-N6-dimethylallyladenine in tRNA"	"C15H22N5O7PS(C5H8O6PR)n(C5H8O6PR)n"
"C20756[m]"	"[Ribosomal protein uS12]-L-aspartate"	"C5H6N2O4R2"
"C20758[m]"	"[Ribosomal protein uS12]-3-methylthioaspartate"	"C6H8N2O4SR2"
"C20759[m]"	"Desulfo-A47934"	"C58H44Cl3N7O18"
"C20760[m]"	"20-Oxo-5-O-beta-mycaminosyltylactone"	"C31H51NO9"
"C20761[m]"	"alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C93H155NO37P2(C24H40O20)n"
"C20762[m]"	"3-O-Phospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C93H156NO40P3(C24H40O20)n"
"C20763[m]"	"3-O-Methylphospho-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol"	"C94H158NO40P3(C24H40O20)n"
"C20764[m]"	"Phytyl phosphate"	"C20H41O4P"
"C20765[m]"	"dTDP-beta-L-evernosamine"	"C18H31N3O13P2"
"C20766[m]"	"dTDP-N-hydroxy-beta-L-evernosamine"	"C18H31N3O14P2"
"C20767[m]"	"dTDP-2,3,6-trideoxy-3-C-methyl-4-O-methyl-3-nitroso-beta-L-arabino-hexopyranose"	"C18H29N3O14P2"
"C20768[m]"	"UDP-2-acetamido-2,6-dideoxy-beta-L-talose"	"C17H27N3O16P2"
"C20769[m]"	"UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose"	"C17H25N3O16P2"
"C20770[m]"	"N-Methylpavine"	"C21H25NO4"
"C20771[m]"	"(+/-)-Pavine"	"C20H23NO4"
"C20772[m]"	"3-[(1-Carboxyvinyl)oxy]benzoate"	"C10H8O5"
"C20773[m]"	"6-Amino-6-deoxyfutalosine"	"C19H19N5O6"
"C20774[m]"	"UDP-N-acetyl-beta-L-fucosamine"	"C17H27N3O16P2"
"C20775[m]"	"beta-Citryl-L-glutamate"	"C11H15NO10"
"C20776[m]"	"N-Acetylaspartylglutamylglutamate"	"C16H23N3O11"
"C20778[m]"	"Ginsenoside Rg3"	"C42H72O13"
"C20779[m]"	"Ginsenoside F2"	"C42H72O13"
"C20780[m]"	"Ginsenoside F1"	"C36H62O9"
"C20781[m]"	"2,4-Diketo-3-deoxy-L-fuconate"	"C6H8O5"
"C20782[m]"	"(S)-2-Phenyloxirane"	"C8H8O"
"C20783[m]"	"Propane"	"C3H8"
"C20784[m]"	"ADP-5-ethyl-4-methylthiazole-2-carboxylate"	"C17H22N6O12P2S"
"C20787[m]"	"23,24-Dihydrocucurbitacin B"	"C32H48O8"
"C20788[m]"	"Homocystine"	"C8H16N2O4S2"
"C20789[m]"	"7-Deoxyloganetate"	"C10H14O4"
"C20790[m]"	"7-Deoxyloganetin"	"C11H16O4"
"C20791[m]"	"Methyl thioether"	"CH3SR"
"C20794[m]"	"n-7 Unsaturated acyl-[acyl-carrier protein]"	"C10H17OSR(C2H4)n"
"C20796[m]"	"N6-Dimethyladenine in rRNA"	"C12H18N5O7P(C5H8O6PR)n(C5H8O6PR)n"
"C20799[m]"	"Grixazone B"	"C18H15N3O7S"
"C20800[m]"	"3-Methyl-L-tyrosine"	"C10H13NO3"
"C20801[m]"	"3-Hydroxy-5-methyl-L-tyrosine"	"C10H13NO4"
"C20802[m]"	"(4S)-4-Hydroxy-L-isoleucine"	"C6H13NO3"
"C20803[m]"	"5-Methyl-1-naphthoate"	"C12H10O2"
"C20804[m]"	"alpha-Longipinene"	"C15H24"
"C20805[m]"	"3-Hydroxy-5-methyl-1-naphthoate"	"C12H10O3"
"C20806[m]"	"omega-Hydroxyphylloquinone"	"C31H46O3"
"C20807[m]"	"3-Hydroxy-L-phenylalanine"	"C9H11NO3"
"C20808[m]"	"2-Methyl-1-pyrroline"	"C5H9N"
"C20809[m]"	"(R)-2-Methylpyrrolidine"	"C5H11N"
"C20810[m]"	"(S)-3-Chloro-beta-tyrosyl-[pcp]"	"C9H9ClNO2SR"
"C20811[m]"	"(-)-exo-alpha-Bergamotene"	"C15H24"
"C20813[m]"	"OA-6129 A"	"C20H31N3O7S"
"C20814[m]"	"OA-6129 C"	"C20H31N3O11S2"
"C20815[m]"	"MM 4550"	"C13H16N2O9S2"
"C20816[m]"	"Deacetylepithienamycin F"	"C11H16N2O7S2"
"C20817[m]"	"C20817"	"C9H14N2O3S"
"C20818[m]"	"C20818"	"C10H16N2O3S"
"C20819[m]"	"C20819"	"C11H18N2O3S"
"C20820[m]"	"2,3-Dihydrothienamycin"	"C11H18N2O4S"
"C20821[m]"	"C20821"	"C8H9NO3"
"C20822[m]"	"C20822"	"C10H14N2O3S"
"C20823[m]"	"C20823"	"C11H16N2O3S"
"C20825[m]"	"Seminolipid"	"C10H16O12SR2"
"C20827[m]"	"3-Hydroxyisovalerate"	"C5H10O3"
"C20829[m]"	"Sulfoquinovose"	"C6H12O8S"
"C20830[m]"	"6-Deoxy-6-sulfo-D-fructose"	"C6H12O8S"
"C20831[m]"	"6-Deoxy-6-sulfo-D-fructose 1-phosphate"	"C6H13O11PS"
"C20832[m]"	"Hydroperoxyicosatetraenoate"	"X"
"C20833[m]"	"Oxoicosatetraenoate"	"X"
"C20834[m]"	"Cyclooctat-9-en-7-ol"	"C20H34O"
"C20835[m]"	"alpha-L-Fucopyranose"	"C6H12O5"
"C20836[m]"	"beta-L-Fucopyranose"	"C6H12O5"
"C20837[m]"	"Hydroxyepoxyicosatrienoate"	"X"
"C20838[m]"	"3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA"	"C34H52N7O19P3S"
"C20839[m]"	"(25R)-3-Oxocholest-4-en-26-oate"	"C27H42O3"
"C20840[m]"	"(25S)-3-Oxocholest-4-en-26-oyl-CoA"	"C48H76N7O18P3S"
"C20841[m]"	"2-Hydroxy-7-methoxy-5-methyl-1-naphthoate"	"C13H12O4"
"C20842[m]"	"2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA"	"C34H46N7O19P3S"
"C20843[m]"	"N5-Phenyl-L-glutamine"	"C11H14N2O3"
"C20844[m]"	"(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate"	"C6H11NO5"
"C20845[m]"	"(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate"	"C6H11NO5"
"C20846[m]"	"3-Oxo-3-ureidoisobutyrate"	"C5H8N2O4"
"C20847[m]"	"(R)-Mevalonate 3-phosphate"	"C6H13O7P"
"C20848[m]"	"(R)-Mevalonate 3,5-bisphosphate"	"C6H14O10P2"
"C20849[m]"	"UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose"	"C17H25N3O17P2"
"C20850[m]"	"N5-Hydroxy-L-ornithine"	"C5H12N2O3"
"C20851[m]"	"Dihydromonacolin L acid"	"C19H32O4"
"C20852[m]"	"3alpha-Hydroxy-3,5-dihydromonacolin L acid"	"C19H32O5"
"C20853[m]"	"Monacolin L acid"	"C19H30O4"
"C20854[m]"	"Monacolin J acid"	"C19H30O5"
"C20855[m]"	"22-Hydroxydocosahexaenoate"	"C22H32O3"
"C20856[m]"	"2-Hydroxy-5-methyl-1-naphthoate"	"C12H10O3"
"C20857[m]"	"2,7-Dihydroxy-5-methyl-1-naphthoate"	"C12H10O4"
"C20858[m]"	"Protein N5-methyl-L-glutamine"	"C7H11N3O3R2"
"C20859[m]"	"Galactosyl-1-alkyl-2-acylglycerol"	"C10H16O9R2"
"C20860[m]"	"Triglucosyldiacylglycerol"	"C23H36O20R2"
"C20861[m]"	"Mannobiose"	"C12H22O11"
"C20862[m]"	"5'-(N7-Methyl 5'-triphosphoguanosine)-(2'-O-methyl-purine-ribonucleotide)-(2'-O-methyl-ribonucleotide)-[mRNA]"	"C28H46N5O29P5R2(R1)(C5H8O6PR)n"
"C20863[m]"	"5'-Phospho-[mRNA]"	"C10H18O13P2R(R1)(C5H8O6PR)n"
"C20864[m]"	"5'-Triphospho-[mRNA]"	"C10H20O19P4R(R1)(C5H8O6PR)n"
"C20870[m]"	"3-(Methylthio)propanoyl-CoA"	"C25H42N7O17P3S2"
"C20871[m]"	"3'-Hydroxyflavone"	"C15H10O3"
"C20872[m]"	"3'-Methoxyflavone"	"C16H12O3"
"C20876[m]"	"Very-long-chain acyl-CoA"	"C26H43N7O17P3SR"
"C20877[m]"	"Very-long-chain 3-oxoacyl-CoA"	"C26H41N7O18P3SR"
"C20878[m]"	"Very-long-chain (3R)-3-hydroxyacyl-CoA"	"C26H43N7O18P3SR"
"C20879[m]"	"Very-long-chain trans-2,3-dehydroacyl-CoA"	"C26H41N7O17P3SR"
"C20883[m]"	"3,4-Dihydroxybenzoyl-[aryl-carrier protein]"	"C7H5O3SR"
"C20884[m]"	"(3,4-Dihydroxybenzoyl)adenylate"	"C17H18N5O10P"
"C20885[m]"	"N-Citryl-spermidine"	"C13H25N3O6"
"C20887[m]"	"beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine"	"C14H25NO11"
"C20888[m]"	"Cellobionate"	"C12H22O12"
"C20889[m]"	"D-Galactaro-1,5-lactone"	"C6H8O7"
"C20890[m]"	"D-Glucaro-1,5-lactone"	"C6H8O7"
"C20891[m]"	"Isoxazolin-5-one"	"C3H3NO2"
"C20892[m]"	"3-(5-Oxoisoxazolin-2-yl)-L-alanine"	"C6H8N2O4"
"C20893[m]"	"3-(5-Oxoisoxazolin-4-yl)-L-alanine"	"C6H8N2O4"
"C20894[m]"	"beta-Citraurin"	"C30H40O2"
"C20895[m]"	"(2S,3S)-3-Methylphenylalanine"	"C10H13NO2"
"C20896[m]"	"D-Galactaro-1,4-lactone"	"C6H8O7"
"C20897[m]"	"Glycerophosphoglycoglycerolipid"	"C20H33O20PR2"
"C20898[m]"	"Lipoteichoic acid"	"C17H26O15R2(C3H7O5P)n"
"C20899[m]"	"Furan-2,5-dicarbaldehyde"	"C6H4O3"
"C20900[m]"	"5-(Dihydroxymethyl)furan-2-carbaldehyde"	"C6H6O4"
"C20901[m]"	"5-(Dihydroxymethyl)furan-2-carboxylate"	"C6H6O5"
"C20902[m]"	"3,6-Anhydro-alpha-L-galactopyranose"	"C6H10O5"
"C20903[m]"	"3,6-Anhydro-L-galactonate"	"C6H10O6"
"C20904[m]"	"2-Iminopropanoate"	"C3H5NO2"
"C20905[m]"	"2-Iminobutanoate"	"C4H7NO2"
